Team,Player,Odds
HOU Texans,Woody Marks,+1200
HOU Texans,Kayshon Boutte,+1400
HOU Texans,Dalton Schultz,+2200
HOU Texans,Jaylin Noel,+3000
HOU Texans,Xavier Hutchinson,+6000
HOU Texans,C.J. Stroud,+10000
HOU Texans,Foster Moreau,+10000
IND Colts,Jonathan Taylor,-500
IND Colts,Tyler Warren,+750
IND Colts,Alec Pierce,+800
IND Colts,Seth McGowan,+4000
IND Colts,Keenan Allen,+4000
IND Colts,Josh Downs,+4000
IND Colts,Daniel Jones,+4000
IND Colts,Laquon Treadwell,+10000
IND Colts,Ashton Dulin,+10000
JAX Jaguars,Bhayshul Tuten,+150
JAX Jaguars,Chris Rodriguez Jr.,+450
JAX Jaguars,Parker Washington,+500
JAX Jaguars,Brian Thomas Jr.,+500
JAX Jaguars,Jakobi Meyers,+800
JAX Jaguars,Trevor Lawrence,+900
JAX Jaguars,Brenton Strange,+900
JAX Jaguars,Travis Hunter,+4000
JAX Jaguars,LeQuint Allen,+4000
KC Chiefs,Kenneth Walker III,-165
KC Chiefs,Rashee Rice,+300
KC Chiefs,Xavier Worthy,+800
KC Chiefs,Travis Kelce,+1200
KC Chiefs,Tyquan Thornton,+2000
KC Chiefs,Patrick Mahomes,+3000
KC Chiefs,Emmett Johnson,+4000
KC Chiefs,Cyrus Allen,+4000
KC Chiefs,Justin Fields,+5000
KC Chiefs,Brashard Smith,+10000
KC Chiefs,Noah Gray,+10000
LA Chargers,Omarion Hampton,-295
LA Chargers,Ladd McConkey,+350
LA Chargers,Quentin Johnston,+650
LA Chargers,Keaton Mitchell,+2500
LA Chargers,Tre Harris,+2500
LA Chargers,Oronde Gadsden II,+3000
LA Chargers,Kimani Vidal,+4000
LA Chargers,David Njoku,+5000
LA Chargers,Justin Herbert,+6000
LA Chargers,KeAndre Lambert-Smith,+8000
LA Chargers,Derius Davis,+10000
LA Chargers,Alec Ingold,+15000
LA Rams,Kyren Williams,+140
LA Rams,Puka Nacua,+250
LA Rams,Davante Adams,+250
LA Rams,Blake Corum,+700
LA Rams,Jordan Whittington,+5000
LA Rams,Colby Parkinson,+5000
LA Rams,Tyler Higbee,+5000
LA Rams,Terrance Ferguson,+5000
LA Rams,Konata Mumpfield,+6500
LA Rams,Davis Allen,+10000
LA Rams,Xavier Smith,+10000
LA Rams,Matthew Stafford,+50000
LV Raiders,Ashton Jeanty,-200
LV Raiders,Brock Bowers,+200
LV Raiders,Jalen Nailor,+1600
LV Raiders,Mike Washington Jr.,+2000
LV Raiders,Tre Tucker,+2500
LV Raiders,Michael Mayer,+4000
LV Raiders,Jack Bech,+4000
LV Raiders,Dareke Young,+8000
LV Raiders,Kirk Cousins,+30000
MIA Dolphins,De'Von Achane,-425
MIA Dolphins,Malik Willis,+600
MIA Dolphins,Malik Washington,+1400
MIA Dolphins,Chris Bell,+1600
MIA Dolphins,Greg Dulcich,+1800
MIA Dolphins,Jalen Tolbert,+2000
MIA Dolphins,Caleb Douglas,+2000
MIA Dolphins,Kevin Coleman Jr.,+10000
MIN Vikings,Justin Jefferson,+175
MIN Vikings,Jordan Mason,+175
MIN Vikings,Jordan Addison,+450
MIN Vikings,Aaron Jones,+450
MIN Vikings,Kyler Murray,+1600
MIN Vikings,T.J. Hockenson,+2500
MIN Vikings,Jauan Jennings,+3000
MIN Vikings,Tai Felton,+8000
MIN Vikings,Josh Oliver,+8000
MIN Vikings,Myles Price,+8000
NE Patriots,Rhamondre Stevenson,+175
NE Patriots,A.J. Brown,+225
NE Patriots,TreVeyon Henderson,+275
NE Patriots,Romeo Doubs,+1000
NE Patriots,Hunter Henry,+1200
NE Patriots,Drake Maye,+2500
NE Patriots,Demario Douglas,+2500
NE Patriots,Efton Chism III,+10000
NE Patriots,Kyle Williams,+10000
NE Patriots,Mack Hollins,+10000
NE Patriots,Eli Raridon,+10000
NE Patriots,Reggie Gilliam,+25000
NO Saints,Travis Etienne Jr.,-125
NO Saints,Chris Olave,+125
NO Saints,Alvin Kamara,+1200
NO Saints,Tyler Shough,+1600
NO Saints,Juwan Johnson,+1600
NO Saints,Devaughn Vele,+3000
NO Saints,Jordyn Tyson,+3500
NO Saints,Kendre Miller,+5000
NO Saints,Audric Estime,+5000
NO Saints,Bryce Lance,+8000
NO Saints,Noah Fant,+8000
NY Jets,Breece Hall,-280
NY Jets,Garrett Wilson,+350
NY Jets,Adonai Mitchell,+1400
NY Jets,Mason Taylor,+1800
NY Jets,Kenyon Sadiq,+2000
NY Jets,Braelon Allen,+2500
NY Jets,Omar Cooper Jr.,+3000
NY Jets,Tim Patrick,+6000
NY Jets,Isaiah Williams,+6000
NY Jets,Jeremy Ruckert,+15000
NY Jets,Geno Smith,+15000
PHI Eagles,Saquon Barkley,-105
PHI Eagles,Jalen Hurts,+190
PHI Eagles,DeVonta Smith,+600
PHI Eagles,Dallas Goedert,+1300
PHI Eagles,Makai Lemon,+2000
PHI Eagles,Marquise Brown,+2000
PHI Eagles,Dontayvion Wicks,+3000
PHI Eagles,Tank Bigsby,+4000
PIT Steelers,Jaylen Warren,+190
PIT Steelers,Rico Dowdle,+210
PIT Steelers,DK Metcalf,+250
PIT Steelers,Michael Pittman Jr.,+650
PIT Steelers,Pat Freiermuth,+1600
PIT Steelers,Darnell Washington,+5000
PIT Steelers,Germie Bernard,+5000
PIT Steelers,Roman Wilson,+8000
PIT Steelers,Aaron Rodgers,+30000
SEA Seahawks,Jaxon Smith-Njigba,+105
SEA Seahawks,Jadarian Price,+140
SEA Seahawks,Zach Charbonnet,+600
SEA Seahawks,George Holani,+600
SEA Seahawks,AJ Barner,+2000
SEA Seahawks,Rashid Shaheed,+3000
SEA Seahawks,Emanuel Wilson,+4000
SEA Seahawks,Cooper Kupp,+5000
SEA Seahawks,Sam Darnold,+20000
SF 49ers,Christian McCaffrey,-200
SF 49ers,Mike Evans,+450
SF 49ers,George Kittle,+750
SF 49ers,De'Zhaun Stribling,+850
SF 49ers,Deebo Samuel,+1400
SF 49ers,Jake Tonges,+4000
SF 49ers,Jordan James,+5000
SF 49ers,Kaelon Black,+6500
SF 49ers,Jordan Watkins,+6500
SF 49ers,Brock Purdy,+6500
SF 49ers,DeMarcus Robinson,+10000
SF 49ers,Kyle Juszczyk,+20000
TB Buccaneers,Bucky Irving,+150
TB Buccaneers,Emeka Egbuka,+200
TB Buccaneers,Kenneth Gainwell,+350
TB Buccaneers,Chris Godwin,+650
TB Buccaneers,Jalen McMillan,+1200
TB Buccaneers,Cade Otton,+2500
TB Buccaneers,Tez Johnson,+8000
TB Buccaneers,Ted Hurst,+8000
TB Buccaneers,Sean Tucker,+8000
TB Buccaneers,Baker Mayfield,+10000
TEN Titans,Tony Pollard,+100
TEN Titans,Carnell Tate,+350
TEN Titans,Tyjae Spears,+400
TEN Titans,Wan'Dale Robinson,+800
TEN Titans,Gunnar Helm,+1400
TEN Titans,Calvin Ridley,+2000
TEN Titans,Elic Ayomanor,+4000
TEN Titans,Nicholas Singleton,+5000
TEN Titans,Chimere Dike,+5000
TEN Titans,Cameron Ward,+5000
WAS Commanders,Jacory Croskey-Merritt,+150
WAS Commanders,Terry McLaurin,+350
WAS Commanders,Rachaad White,+350
WAS Commanders,Jayden Daniels,+350
WAS Commanders,Stefon Diggs,+800
WAS Commanders,Antonio Williams,+2500
WAS Commanders,Chigoziem Okonkwo,+4000
WAS Commanders,Kaytron Allen,+5000
WAS Commanders,Jaylin Lane,+5000
WAS Commanders,Treylon Burks,+5000
WAS Commanders,Luke McCaffrey,+5000
WAS Commanders,Dyami Brown,+5000
